Aktör;Inlösar-ID;Licens fr.o.m;Webbadress
Speedy Originals Ltd;657627331;2021-04-26;speedybet.com
Speedy Originals Ltd;657627331;2021-04-26;speedycasino.com
Prozone Limited;657627346;2022-09-13;bethard.com
Prozone Limited;657627346;2022-09-13;betive.com
Prozone Limited;657627346;2022-09-13;fastbet.com
Prozone Limited;657627346;2022-09-13;supersnabbt.se
Prozone Limited;657627346;2022-09-13;turbovegas.com
Blue Star Planet Limited;657627389;2023-01-01;10bet.se
SverigeCasino Limited;657627394;2023-03-08;spelklubben.se
Romix Limited;657627452;2022-11-22;campobet.se
Oddit Limited;657627576;2023-11-21;casumo.com
LeoEx Ltd;657627577;2023-12-05;expekt.se
Kungaslottet Ltd;657627612;2023-12-05;kungaslottet.se
SuprPlay Limited;657627614;2024-03-06;bytcasino.com
SuprPlay Limited;657627614;2024-03-06;duelz.com
SuprPlay Limited;657627614;2024-03-06;losvegas.bet
SuprPlay Limited;657627614;2024-03-06;nyspins.com
SuprPlay Limited;657627614;2024-03-06;voodoodreams.com
Hillside (Europe) ENC;657627616;2024-01-01;bet365.com
AB Trav och Galopp;657627617;2024-01-01;atg.se
AB Trav och Galopp;657627617;2024-01-01;tillsammans.atg.se
BS Nordic Ltd;657627619;2024-01-01;betsafe.com/sv
Svenska Spel Sport & Casino AB;657627620;2024-01-01;spela.svenskaspel.se
888 Sweden Limited;657627621;2024-01-01;888.se
888 Sweden Limited;657627621;2024-01-01;888sport.se
United Lottery Solutions Ltd;657627622;2026-02-04;lottoland.se
TSG Interactive PLC;657627623;2024-01-01;pokerstars.se
Tipwin Limited;657627697;2024-01-01;tipwin.com
Tipwin Limited;657627697;2024-01-01;tipwin.se
Betsson Nordic Ltd;657627699;2024-01-01;betsson.com/sv
NGG Nordic Ltd;657627700;2024-01-01;nordicbet.com/sv
Polar Limited;657627701;2024-01-01;coolbet.com
Mr Green Limited;657627702;2024-03-27;mrgreen.com
Mr Green Limited;657627702;2024-03-27;mrgreen.de
Mr Green Limited;657627702;2024-03-27;mrgreen.dk
Mr Green Limited;657627702;2024-03-27;mrgreen.se
L&L Europe Limited;657627703;2024-01-01;casinocasino.com
L&L Europe Limited;657627703;2024-01-01;casinocasino.se
L&L Europe Limited;657627703;2024-01-01;funcasino.com
L&L Europe Limited;657627703;2024-01-01;funcasino.se
L&L Europe Limited;657627703;2024-01-01;hypercasino.com
L&L Europe Limited;657627703;2024-01-01;karlcasino.com
L&L Europe Limited;657627703;2024-01-01;karlcasino.se
L&L Europe Limited;657627703;2024-01-01;nobonuscasino.com
L&L Europe Limited;657627703;2024-01-01;racecasino.com
L&L Europe Limited;657627703;2024-01-01;racecasino.se
L&L Europe Limited;657627703;2024-01-01;yakocasino.com
L&L Europe Limited;657627703;2024-01-01;yeticasino.com
L&L Europe Limited;657627703;2024-01-01;yeticasino.se
Skill On Net Ltd;657627704;2025-03-21;44aces.com/se
Skill On Net Ltd;657627704;2025-03-21;ahtigames.com/sv
Skill On Net Ltd;657627704;2025-03-21;bacanaplay.com/se
Skill On Net Ltd;657627704;2025-03-21;casinoandfriends.com/se
Skill On Net Ltd;657627704;2025-03-21;clemensspillehal.com/se
Skill On Net Ltd;657627704;2025-03-21;drueckglueck.com/se
Skill On Net Ltd;657627704;2025-03-21;eucasino.com/se
Skill On Net Ltd;657627704;2025-03-21;eurokingclub.com/se
Skill On Net Ltd;657627704;2025-03-21;euromania.com/se
Skill On Net Ltd;657627704;2025-03-21;finlandiacasino.com/se
Skill On Net Ltd;657627704;2025-03-21;geckoplay.se
Skill On Net Ltd;657627704;2025-03-21;gentingcasino.se
Skill On Net Ltd;657627704;2025-03-21;Jackpotstar.com/se
Skill On Net Ltd;657627704;2025-03-21;KnightSlots.com/se
Skill On Net Ltd;657627704;2025-03-21;lordping.se
Skill On Net Ltd;657627704;2025-03-21;luckylouis.com/en
Skill On Net Ltd;657627704;2025-03-21;luckyniki.com/se
Skill On Net Ltd;657627704;2025-03-21;luckyvegas.com/se
Skill On Net Ltd;657627704;2025-03-21;lunacasino.com/se
Skill On Net Ltd;657627704;2025-03-21;metalcasino.com/sv
Skill On Net Ltd;657627704;2025-03-21;metalcasino.se
Skill On Net Ltd;657627704;2025-03-21;miamijackpots.com/se
Skill On Net Ltd;657627704;2025-03-21;parisvegasclub.com/se
Skill On Net Ltd;657627704;2025-03-21;playjango.com/se
Skill On Net Ltd;657627704;2025-03-21;playkasino.com/se
Skill On Net Ltd;657627704;2025-03-21;playojo.com/se
Skill On Net Ltd;657627704;2025-03-21;playtoro.com/se
Skill On Net Ltd;657627704;2025-03-21;playtoro.se
Skill On Net Ltd;657627704;2025-03-21;playuzu.com/se
Skill On Net Ltd;657627704;2025-03-21;queenvegas.com/se
Skill On Net Ltd;657627704;2025-03-21;redkings.com/se
Skill On Net Ltd;657627704;2025-03-21;regencycasino.se
Skill On Net Ltd;657627704;2025-03-21;royalbet.com/se
Skill On Net Ltd;657627704;2025-03-21;royale500.com/se
Skill On Net Ltd;657627704;2025-03-21;se.luckymeslots.com
Skill On Net Ltd;657627704;2025-03-21;se.megacasino.com
Skill On Net Ltd;657627704;2025-03-21;se.primecasino.com
Skill On Net Ltd;657627704;2025-03-21;se.simbagames.com
Skill On Net Ltd;657627704;2025-03-21;se.slingo.com
Skill On Net Ltd;657627704;2025-03-21;se.spingenie.com
Skill On Net Ltd;657627704;2025-03-21;slotsmagic.com/se
Skill On Net Ltd;657627704;2025-03-21;slotstars.com/se
Skill On Net Ltd;657627704;2025-03-21;spingenie.se
Skill On Net Ltd;657627704;2025-03-21;sv.playmillion.com
Skill On Net Ltd;657627704;2025-03-21;swiftcasino.com/sv-se
Skill On Net Ltd;657627704;2025-03-21;turbonino.com/se
Skill On Net Ltd;657627704;2025-03-21;vegaswinner.com/se
Skill On Net Ltd;657627704;2025-03-21;winlandia.com/se
Skill On Net Ltd;657627704;2025-03-21;winlandia.se
Skill On Net Ltd;657627704;2025-03-21;winningkings.com/se
Skill On Net Ltd;657627704;2025-03-21;zebrawins.com/se
Interwetten Gaming Ltd;657627705;2024-01-01;interwetten.se
TSG Interactive PLC;657627706;2024-01-01;pokerstars.se
Prozone Limited;657627790;2022-09-13;bethard.com
Prozone Limited;657627790;2022-09-13;betive.com
